label,subject_id,video_id,second_id
0,381,1,77
0,381,1,25
0,381,1,3
0,381,1,97
0,381,1,57
0,381,1,18
0,381,1,153
0,381,1,61
0,381,1,2
0,381,1,8
0,381,1,79
0,381,1,80
0,381,1,100
0,381,1,67
0,381,1,93
0,381,1,27
0,381,1,98
0,381,1,84
0,381,1,48
0,381,1,32
0,381,1,92
0,381,1,14
0,381,1,83
0,381,1,89
0,381,1,53
0,381,1,78
0,381,1,157
0,381,1,165
0,381,1,71
0,381,1,94
0,381,1,155
0,381,1,163
0,381,1,29
0,381,1,47
0,381,1,13
0,381,1,24
0,381,1,154
0,381,1,6
0,381,1,16
0,381,1,141
0,381,1,99
0,381,1,149
0,381,1,158
0,381,1,91
0,380,2,251
0,380,2,269
0,380,2,193
0,380,2,49
0,380,2,55
0,380,2,61
0,380,2,75
0,380,2,391
0,380,2,327
0,380,2,273
0,380,2,210
0,380,2,225
0,380,2,220
0,380,2,93
0,380,2,28
0,380,2,109
0,380,2,229
0,380,2,191
0,380,2,381
0,380,2,206
0,380,2,346
0,380,2,188
0,380,2,192
0,380,2,378
0,380,2,338
0,380,2,358
0,380,2,102
0,380,2,96
0,380,2,368
0,380,2,97
0,380,2,351
0,380,2,377
0,380,2,195
0,380,2,197
0,380,2,104
0,380,2,263
0,380,2,259
0,380,2,289
0,380,2,30
0,380,2,272
0,380,2,309
0,480,4,41
0,480,4,202
0,480,4,57
0,480,4,238
0,480,4,128
0,480,4,134
0,480,4,220
0,480,4,283
0,480,4,36
0,480,4,297
0,480,4,88
0,480,4,153
0,480,4,64
0,480,4,228
0,480,4,129
0,480,4,152
0,480,4,11
0,480,4,28
0,480,4,227
0,480,4,252
0,480,4,215
0,480,4,188
0,480,4,164
0,480,4,133
0,480,4,70
0,480,4,311
0,480,4,93
0,480,4,309
0,480,4,226
0,480,4,12
0,480,4,91
0,480,4,195
0,480,4,3
0,480,4,308
0,480,4,184
0,480,4,149
0,480,4,223
0,480,4,81
0,480,4,299
0,480,4,9
0,480,4,212
0,480,4,40
0,480,4,142
0,480,4,291
0,480,4,198
0,480,4,217
0,480,4,51
0,480,4,156
0,480,4,319
0,480,4,135
0,480,4,158
0,480,4,210
0,480,4,39
0,480,4,259
