label,subject_id,video_id,second_id,group_id
1,31,133,1000,3
1,31,133,1001,3
1,31,133,1002,3
1,31,133,1003,3
1,31,133,1004,3
1,31,133,1006,3
1,31,133,1007,3
1,31,133,1008,3
1,31,133,1009,3
1,31,133,1010,3
1,31,133,1011,3
1,31,133,1012,3
1,31,133,1013,3
1,31,133,1014,3
1,31,133,1015,3
1,31,133,1016,3
1,31,133,1017,3
1,31,133,1019,3
1,31,133,1093,3
1,31,133,1094,3
1,31,133,1095,3
1,31,133,1096,3
1,31,133,1098,3
1,31,133,1099,3
1,31,133,1100,3
1,31,133,1101,3
1,31,133,1102,3
1,31,133,1103,3
1,31,133,1104,3
1,31,133,1105,3
1,31,133,240,3
1,31,133,241,3
1,31,133,242,3
1,31,133,243,3
1,31,133,244,3
1,31,133,245,3
1,31,133,246,3
1,31,133,247,3
1,31,133,248,3
1,31,133,249,3
1,31,133,250,3
1,31,133,252,3
1,31,133,253,3
1,31,133,254,3
1,31,133,255,3
1,31,133,256,3
1,31,133,292,3
1,31,133,293,3
1,31,133,294,3
1,31,133,295,3
1,31,133,296,3
1,31,133,297,3
1,31,133,298,3
1,31,133,300,3
1,31,133,301,3
1,31,133,302,3
1,31,133,303,3
1,31,133,356,3
1,31,133,357,3
1,31,133,358,3
1,31,133,359,3
1,31,133,360,3
1,31,133,361,3
1,31,133,362,3
1,31,133,363,3
1,31,133,364,3
1,31,133,365,3
1,31,133,366,3
1,31,133,367,3
1,31,133,373,3
1,31,133,374,3
1,31,133,375,3
1,31,133,407,3
1,31,133,408,3
1,31,133,418,3
1,31,133,419,3
1,31,133,420,3
1,31,133,421,3
1,31,133,422,3
1,31,133,423,3
1,31,133,424,3
1,31,133,425,3
1,31,133,426,3
1,31,133,427,3
1,31,133,428,3
1,31,133,429,3
1,31,133,430,3
1,31,133,431,3
1,31,133,432,3
1,31,133,433,3
1,31,133,434,3
1,31,133,507,3
1,31,133,508,3
1,31,133,509,3
1,31,133,512,3
1,31,133,517,3
1,31,133,518,3
1,31,133,520,3
1,31,133,521,3
1,31,133,852,3
1,31,133,853,3
1,31,133,993,3
1,31,133,994,3
1,31,133,997,3
1,31,133,998,3
1,31,133,999,3
1,31,179,1000,3
1,31,179,1001,3
1,31,179,1002,3
1,31,179,1003,3
1,31,179,1004,3
1,31,179,1005,3
1,31,179,1006,3
1,31,179,1007,3
1,31,179,1008,3
1,31,179,1009,3
1,31,179,226,3
1,31,179,227,3
1,31,179,228,3
1,31,179,230,3
1,31,179,231,3
1,31,179,232,3
1,31,179,233,3
1,31,179,234,3
1,31,179,235,3
1,31,179,237,3
1,31,179,238,3
1,31,179,239,3
1,31,179,240,3
1,31,179,241,3
1,31,179,242,3
1,31,179,243,3
1,31,179,244,3
1,31,179,245,3
1,31,179,246,3
1,31,179,247,3
1,31,179,248,3
1,31,179,249,3
1,31,179,254,3
1,31,179,255,3
1,31,179,361,3
1,31,179,362,3
1,31,179,363,3
1,31,179,364,3
1,31,179,365,3
1,31,179,366,3
1,31,179,367,3
1,31,179,368,3
1,31,179,377,3
1,31,179,378,3
1,31,179,379,3
1,31,179,380,3
1,31,179,381,3
1,31,179,384,3
1,31,179,385,3
1,31,179,386,3
1,31,179,388,3
1,31,179,389,3
1,31,179,390,3
1,31,179,391,3
1,31,179,393,3
1,31,179,394,3
1,31,179,395,3
1,31,179,523,3
1,31,179,524,3
1,31,179,525,3
1,31,179,526,3
1,31,179,534,3
1,31,179,535,3
1,31,179,536,3
1,31,179,540,3
1,31,179,541,3
1,31,179,542,3
1,31,179,543,3
1,31,179,544,3
1,31,179,545,3
1,31,179,546,3
1,31,179,547,3
1,31,179,548,3
1,31,179,549,3
1,31,179,550,3
1,31,179,551,3
1,31,179,552,3
1,31,179,554,3
1,31,179,555,3
1,31,179,556,3
1,31,179,557,3
1,31,179,558,3
1,31,179,559,3
1,31,179,561,3
1,31,179,562,3
1,31,179,570,3
1,31,179,571,3
1,31,179,572,3
1,31,179,574,3
1,31,179,575,3
1,31,179,576,3
1,31,179,577,3
1,31,179,579,3
1,31,179,580,3
1,31,179,581,3
1,31,179,582,3
1,31,179,584,3
1,31,179,585,3
1,31,179,586,3
1,31,179,587,3
1,31,179,588,3
1,31,179,589,3
1,31,179,590,3
1,31,179,604,3
1,31,179,605,3
1,31,179,606,3
1,31,179,607,3
1,31,179,608,3
1,31,179,609,3
1,31,179,610,3
1,31,179,819,3
1,31,179,820,3
1,31,179,821,3
1,31,179,822,3
1,31,179,826,3
1,31,179,827,3
1,31,179,828,3
1,31,179,829,3
1,31,179,830,3
1,31,179,833,3
1,31,179,834,3
1,31,179,835,3
1,31,179,836,3
1,31,179,837,3
1,31,179,838,3
1,31,179,841,3
1,31,179,842,3
1,31,179,847,3
1,31,179,848,3
1,31,179,851,3
1,31,179,855,3
1,31,179,856,3
1,31,179,857,3
1,31,179,859,3
1,31,179,860,3
1,31,179,861,3
1,31,179,988,3
1,31,179,989,3
1,31,179,990,3
1,31,179,991,3
1,31,179,992,3
1,31,179,993,3
1,31,39,114,3
1,31,39,115,3
1,31,39,116,3
1,31,39,118,3
1,31,39,166,3
1,31,39,167,3
1,31,39,168,3
1,31,39,169,3
1,31,39,170,3
1,31,39,171,3
1,31,39,175,3
1,31,39,176,3
